meadow,area_ha,lat_decimal_degrees_n,lon_decimal_degrees_w,elev_m
C,4.1,51.017013,114.974298,1990
D,8.7,51.015567,114.975221,1996
d,1.1,51.013582,114.97473,2013
E,9.2,51.00912,114.969395,2078
F,3.1,50.979563,114.92379,2041
G,2.5,50.977846,114.924215,2109
g,2.2,50.973738,114.923684,2078
H,2.3,50.969969,114.922125,2122
I,1.2,50.962863,114.923775,2096
J,16.1,50.959017,114.918928,2162
K,7.3,50.961369,114.915854,2107
L,8.9,50.952634,114.912764,2187
M,22.7,50.949725,114.906468,2153
N,0.2,50.952964,114.900648,2116
O,3.4,50.95516,114.896712,2147
P,6.6,50.954881,114.890892,2060
Q,5.3,50.958088,114.88849,2114
R,0.4,50.957901,114.880781,2069
S,4.7,50.961326,114.875952,2041
Y,0.8,50.979527,114.919648,1951
Z,7.1,50.981451,114.910345,2097
