popualtion,record_date,method,estimation,individuals_captured,total_number_of_captures,number_of_male_individuals_captured,total_number_of_male_captures,number_of_female_individuals_captured,total_number_of_female_captures,est_n,standard_error,notes
E,12-Jul-95,Mark-recapture,Capture to Craig,1,1,1,1,0,0,1.4,1.9981,
D,27-Jul-95,Mark-recapture,Capture to Craig,2,2,2,2,0,0,3.0,1.9861,
E,27-Jul-95,Mark-recapture,Capture to Craig,2,2,2,2,0,0,3.0,1.9861,
g,27-Jul-95,Mark-recapture,Capture to Craig,1,1,1,1,0,0,1.4,1.9981,
d,31-Jul-95,Mark-recapture,Craig,1,2,1,2,0,0,1.3,0.5442,
D,31-Jul-95,Mark-recapture,Craig,17,28,17,28,0,0,25.5,0.0,
E,31-Jul-95,Mark-recapture,Craig,22,43,21,42,1,1,28.1,0.0,
g,31-Jul-95,Mark-recapture,Craig,6,11,6,11,0,0,8.1,0.0116,
G,31-Jul-95,Mark-recapture,Craig,10,11,10,11,0,0,56.8,0.0308,
Q,1-Aug-95,Mark-recapture,Capture to Craig,1,1,1,1,0,0,1.4,1.9981,
R,1-Aug-95,Mark-recapture,Craig,2,5,2,5,0,0,2.2,0.1243,
F,3-Aug-95,Mark-recapture,Craig,13,16,13,16,0,0,37.2,0.002,
g,3-Aug-95,Mark-recapture,Craig,14,15,12,13,2,2,107.4,0.0057,Poor estimate (29.6 from conversion may be  more realistic)
G,3-Aug-95,Mark-recapture,Craig,18,29,18,29,0,0,27.8,0.0,
H,3-Aug-95,Mark-recapture,Craig,8,12,8,12,0,0,13.7,0.0092,
I,3-Aug-95,Mark-recapture,Capture to Craig,1,1,1,1,0,0,1.4,1.9981,
J,3-Aug-95,Mark-recapture,Capture to Craig,3,3,3,3,0,0,4.9,1.9806,
K,3-Aug-95,Mark-recapture,Craig,12,21,12,21,0,0,16.8,0.0001,
L,3-Aug-95,Mark-recapture,Capture to Craig,2,2,2,2,0,0,3.0,1.9861,
M,3-Aug-95,Mark-recapture,Craig,3,4,3,4,0,0,6.6,0.3648,
F,4-Aug-95,Mark-recapture,Craig,10,11,8,9,2,2,56.8,0.0308,
M,4-Aug-95,Mark-recapture,Craig,16,20,16,20,0,0,43.1,0.0003,
N,4-Aug-95,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,Assumed to have been sampled
O,4-Aug-95,Mark-recapture,Craig,2,3,2,3,0,0,3.4,0.4597,
P,4-Aug-95,Mark-recapture,Craig,7,12,7,12,0,0,10.0,0.0078,
Y,4-Aug-95,Mark-recapture,Craig,9,16,6,13,3,3,12.4,0.0012,
Z,4-Aug-95,Mark-recapture,Craig,13,28,12,27,1,1,15.6,0.0,
d,5-Aug-95,Mark-recapture,Capture to Craig,1,1,1,1,0,0,1.4,1.9981,
D,5-Aug-95,Mark-recapture,Craig,32,49,28,45,4,4,53.1,0.0,
E,5-Aug-95,Mark-recapture,Craig,57,118,48,105,9,13,69.9,0.0,
Q,5-Aug-95,Mark-recapture,Craig,7,16,7,16,0,0,8.1,0.001,
R,5-Aug-95,Mark-recapture,Craig,6,12,4,9,2,3,7.5,0.0068,
S,5-Aug-95,Mark-recapture,Capture to Craig,3,3,3,3,0,0,4.9,1.9806,
F,9-Aug-95,Mark-recapture,Craig,17,22,13,18,4,4,40.8,0.0001,
g,9-Aug-95,Mark-recapture,Capture to Craig,8,8,8,8,0,0,15.4,1.9744,
G,9-Aug-95,Mark-recapture,Craig,40,66,36,62,4,4,59.9,0.0,
H,9-Aug-95,Mark-recapture,Craig,10,13,8,11,2,2,23.6,0.0073,
I,9-Aug-95,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,Assumed to have been sampled
J,9-Aug-95,Mark-recapture,Craig,4,4,4,4,0,0,6.8,0.3703,
K,9-Aug-95,Mark-recapture,Craig,18,31,16,29,2,2,25.7,0.0,
L,9-Aug-95,Mark-recapture,Craig,8,11,8,11,0,0,16.3,0.0165,
M,9-Aug-95,Mark-recapture,Craig,5,7,5,7,0,0,9.8,0.0949,
F,13-Aug-95,Mark-recapture,Capture to Craig,3,3,3,3,0,0,4.9,1.9806,
G,13-Aug-95,Mark-recapture,Capture to Craig,1,1,0,0,1,1,1.4,1.9981,
Y,13-Aug-95,Mark-recapture,Capture to Craig,1,1,1,1,0,0,1.4,1.9981,
Z,13-Aug-95,Mark-recapture,Craig,21,38,19,36,2,2,28.5,0.0,
Z,14-Aug-95,Mark-recapture,Capture to Craig,3,3,2,2,0,0,4.9,1.9806,
C,15-Aug-95,Mark-recapture,Capture to Craig,10,10,10,10,0,0,20.0,1.9743,
d,15-Aug-95,Mark-recapture,Capture to Craig,1,1,0,0,1,1,1.4,1.9981,
D,15-Aug-95,Mark-recapture,Capture to Craig,34,34,27,27,7,7,83.6,1.9826,
E,15-Aug-95,Mark-recapture,Capture to Craig,22,22,20,20,2,2,50.2,1.978,
F,15-Aug-95,Mark-recapture,Capture to Craig,20,20,19,19,1,1,44.9,1.9772,
G,15-Aug-95,Mark-recapture,Capture to Craig,3,3,2,2,1,1,4.9,1.9806,
I,15-Aug-95,Mark-recapture,Capture to Craig,9,9,7,7,2,2,17.7,1.9743,
K,15-Aug-95,Mark-recapture,Capture to Craig,20,20,19,19,1,1,44.9,1.9772,
L,15-Aug-95,Mark-recapture,Capture to Craig,6,6,6,6,0,0,11.0,1.9753,
M,15-Aug-95,Mark-recapture,Craig,22,22,22,22,0,0,50.2,0.0001,
N,15-Aug-95,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,Assumed to have been sampled
O,15-Aug-95,Mark-recapture,Capture to Craig,2,2,2,2,0,0,3.0,1.9861,
P,15-Aug-95,Mark-recapture,Capture to Craig,10,10,9,9,1,1,20.0,1.9743,
Q,15-Aug-95,Mark-recapture,Capture to Craig,7,7,7,7,0,0,13.2,1.9747,
R,15-Aug-95,Mark-recapture,Capture to Craig,12,12,9,9,3,3,50.2,1.978,
S,15-Aug-95,Mark-recapture,Capture to Craig,2,2,2,2,0,0,3.0,1.9861,
Y,15-Aug-95,Mark-recapture,Capture to Craig,2,2,1,1,1,1,3.0,1.9861,
Z,15-Aug-95,Mark-recapture,Capture to Craig,20,20,17,17,3,3,44.9,1.9772,
F,16-Aug-95,Mark-recapture,Capture to Craig,3,3,3,3,0,0,4.9,1.9806,
g,16-Aug-95,Mark-recapture,Capture to Craig,20,20,18,18,2,2,44.9,1.9772,
G,16-Aug-95,Mark-recapture,Capture to Craig,21,21,19,19,2,2,47.6,1.9776,
P,16-Aug-95,Mark-recapture,Capture to Craig,3,3,3,3,0,0,4.9,1.9806,
Q,16-Aug-95,Mark-recapture,Capture to Craig,7,7,6,6,1,1,13.2,1.9747,
F,18-Aug-95,Mark-recapture,Capture to Craig,2,2,1,1,1,1,3.0,1.9861,
G,18-Aug-95,Mark-recapture,Capture to Craig,10,10,9,9,1,1,20.0,1.9743,
O,18-Aug-95,Mark-recapture,Capture to Craig,4,4,2,2,2,2,4.9,1.9806,
P,18-Aug-95,Mark-recapture,Capture to Craig,10,10,8,8,2,2,20.0,1.9743,
Q,18-Aug-95,Mark-recapture,Capture to Craig,6,6,6,6,0,0,11.0,1.9753,
R,18-Aug-95,Mark-recapture,Capture to Craig,4,4,2,2,2,2,4.9,1.9806,
S,18-Aug-95,Mark-recapture,Capture to Craig,6,6,6,6,0,0,11.0,1.9753,
F,19-Aug-95,Mark-recapture,Capture to Craig,9,9,6,6,3,3,17.7,1.9743,
g,19-Aug-95,Mark-recapture,Craig,17,24,13,20,4,4,32.7,0.0,
G,19-Aug-95,Mark-recapture,Capture to Craig,16,16,14,14,2,2,34.6,1.9758,
H,19-Aug-95,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,Assumed to have been sampled
I,19-Aug-95,Mark-recapture,Capture to Craig,1,1,0,0,1,1,1.4,1.9981,
J,19-Aug-95,Mark-recapture,Capture to Craig,15,15,13,13,2,2,32.1,1.9754,
L,19-Aug-95,Mark-recapture,Capture to Craig,16,16,14,14,2,2,34.6,1.9758,
d,20-Aug-95,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,Assumed to have been sampled
D,20-Aug-95,Mark-recapture,Craig,9,11,7,9,2,2,26.5,0.021,
E,20-Aug-95,Mark-recapture,Craig,24,35,18,29,6,6,43.3,0.0,
Y,20-Aug-95,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,Assumed to have been sampled
Z,20-Aug-95,Mark-recapture,Craig,9,10,6,7,3,3,46.6,0.046,
d,21-Aug-95,Mark-recapture,Capture to Craig,1,1,0,0,1,1,1.4,1.9981,
D,21-Aug-95,Mark-recapture,Craig,24,27,19,22,5,5,112.3,0.0,Poor estimate (55.6 from conversion may be more realistic)
E,21-Aug-95,Mark-recapture,Craig,37,53,28,44,9,9,69.1,0.0,
F,21-Aug-95,Mark-recapture,Craig,16,23,11,18,5,5,29.7,0.0001,
g,21-Aug-95,Mark-recapture,Craig,29,35,23,29,6,6,90.1,0.0,
G,21-Aug-95,Mark-recapture,Craig,34,66,27,57,7,9,43.6,0.0,
H,21-Aug-95,Mark-recapture,Capture to Craig,7,7,6,6,1,1,13.2,1.9747,
Y,21-Aug-95,Mark-recapture,Craig,4,6,3,5,1,1,6.9,0.1319,
Z,21-Aug-95,Mark-recapture,Craig,31,45,25,39,6,6,56.4,0.0,
d,22-Aug-95,Mark-recapture,Craig,0,0,0,0,0,0,0.0,,Assumed to have been sampled
D,22-Aug-95,Mark-recapture,Craig,32,38,25,31,7,7,107.3,0.0,Poor estimate (77.9 from conversion may be more realistic)
E,22-Aug-95,Mark-recapture,Craig,33,37,18,22,15,15,158.6,0.0,Poor estimate (80.7 from conversion may be more realistic)
F,22-Aug-95,Mark-recapture,Craig,21,44,13,34,8,10,25.6,0.0,
g,22-Aug-95,Mark-recapture,Capture to Craig,9,9,9,9,0,0,17.7,1.9743,
G,22-Aug-95,Mark-recapture,Capture to Craig,11,11,9,9,2,2,22.3,1.9745,
Y,22-Aug-95,Mark-recapture,Capture to Craig,3,3,1,1,2,2,4.9,1.9806,
Z,22-Aug-95,Mark-recapture,Craig,21,25,14,17,7,8,69.6,0.0,Poor estimate (47.6 from conversion may be more realistic)
F,26-Aug-95,Mark-recapture,Capture to Craig,1,1,1,1,0,0,1.4,1.9981,
g,23-Jul-96,Mark-recapture,Capture to Craig,7,7,5,5,2,2,13.2,1.9747,
G,23-Jul-96,Mark-recapture,Craig,8,10,6,8,2,2,21.5,0.0313,
H,23-Jul-96,Mark-recapture,Capture to Craig,2,2,2,2,0,0,3.0,1.9861,
